Country Name,Region
Andorra,Western Europe
Austria,Western Europe
Belgium,Western Europe
Cyprus,Western Europe
Denmark,Western Europe
Finland,Western Europe
France,Western Europe
Germany,Western Europe
Greece,Western Europe
Iceland,Western Europe
Ireland,Western Europe
Italy,Western Europe
Luxembourg,Western Europe
Malta,Western Europe
Monaco,Western Europe
Netherlands,Western Europe
Norway,Western Europe
Portugal,Western Europe
San Marino,Western Europe
Spain,Western Europe
Sweden,Western Europe
Switzerland,Western Europe
United Kingdom,Western Europe
Vatican City,Western Europe
Angola,Sub-Saharan Africa
Benin,Sub-Saharan Africa
Botswana,Sub-Saharan Africa
Burkina Faso,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Cabo Verde,Sub-Saharan Africa
Cameroon,Sub-Saharan Africa
Central African Republic,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Comoros,Sub-Saharan Africa
Côte d’Ivoire,Sub-Saharan Africa
Democratic Republic of the Congo,Sub-Saharan Africa
Djibouti,Sub-Saharan Africa
Equatorial Guinea,Sub-Saharan Africa
Eritrea,Sub-Saharan Africa
Eswatini,Sub-Saharan Africa
Ethiopia,Sub-Saharan Africa
Gabon,Sub-Saharan Africa
Ghana,Sub-Saharan Africa
Guinea,Sub-Saharan Africa
Guinea-Bissau,Sub-Saharan Africa
Kenya,Sub-Saharan Africa
Lesotho,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Mali,Sub-Saharan Africa
Mauritania,Sub-Saharan Africa
Mauritius,Sub-Saharan Africa
Mozambique,Sub-Saharan Africa
Namibia,Sub-Saharan Africa
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
Republic of the Congo,Sub-Saharan Africa
Rwanda,Sub-Saharan Africa
Sao Tome and Principe,Sub-Saharan Africa
Senegal,Sub-Saharan Africa
Seychelles,Sub-Saharan Africa
Sierra Leone,Sub-Saharan Africa
Somalia,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
Sudan,Sub-Saharan Africa
"Sudan, South",Sub-Saharan Africa
Tanzania,Sub-Saharan Africa
The Gambia,Sub-Saharan Africa
Togo,Sub-Saharan Africa
Trinidad and Tobago,Sub-Saharan Africa
Uganda,Sub-Saharan Africa
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
Brunei,Southeast Asia
Cambodia,Southeast Asia
East Timor (Timor-Leste),Southeast Asia
Indonesia,Southeast Asia
Laos,Southeast Asia
Malaysia,Southeast Asia
Myanmar (Burma),Southeast Asia
Palau,Southeast Asia
Papua New Guinea,Southeast Asia
Philippines,Southeast Asia
Singapore,Southeast Asia
Thailand,Southeast Asia
Vietnam,Southeast Asia
Afghanistan,South Asia
Bangladesh,South Asia
Bhutan,South Asia
India,South Asia
Maldives,South Asia
Nepal,South Asia
Pakistan,South Asia
Sri Lanka,South Asia
Australia,North America and ANZ
Canada,North America and ANZ
Fiji,North America and ANZ
Kiribati,North America and ANZ
Marshall Islands,North America and ANZ
"Micronesia, Federated States of",North America and ANZ
Nauru,North America and ANZ
New Zealand,North America and ANZ
Samoa,North America and ANZ
Solomon Islands,North America and ANZ
Tonga,North America and ANZ
Tuvalu,North America and ANZ
United States,North America and ANZ
Vanuatu,North America and ANZ
Algeria,Middle East and North Africa
Bahrain,Middle East and North Africa
Egypt,Middle East and North Africa
Iran,Middle East and North Africa
Iraq,Middle East and North Africa
Israel,Middle East and North Africa
Jordan,Middle East and North Africa
Kuwait,Middle East and North Africa
Lebanon,Middle East and North Africa
Libya,Middle East and North Africa
Morocco,Middle East and North Africa
Oman,Middle East and North Africa
Qatar,Middle East and North Africa
Saudi Arabia,Middle East and North Africa
Syria,Middle East and North Africa
Tunisia,Middle East and North Africa
Turkey,Middle East and North Africa
United Arab Emirates,Middle East and North Africa
Yemen,Middle East and North Africa
Antigua and Barbuda,Latin America and Caribbean
Argentina,Latin America and Caribbean
Barbados,Latin America and Caribbean
Belize,Latin America and Caribbean
Bolivia,Latin America and Caribbean
Brazil,Latin America and Caribbean
Chile,Latin America and Caribbean
Colombia,Latin America and Caribbean
Costa Rica,Latin America and Caribbean
Cuba,Latin America and Caribbean
Dominica,Latin America and Caribbean
Dominican Republic,Latin America and Caribbean
Ecuador,Latin America and Caribbean
El Salvador,Latin America and Caribbean
Grenada,Latin America and Caribbean
Guatemala,Latin America and Caribbean
Guyana,Latin America and Caribbean
Haiti,Latin America and Caribbean
Honduras,Latin America and Caribbean
Jamaica,Latin America and Caribbean
Mexico,Latin America and Caribbean
Nicaragua,Latin America and Caribbean
Panama,Latin America and Caribbean
Paraguay,Latin America and Caribbean
Peru,Latin America and Caribbean
Saint Kitts and Nevis,Latin America and Caribbean
Saint Lucia,Latin America and Caribbean
Saint Vincent and the Grenadines,Latin America and Caribbean
Suriname,Latin America and Caribbean
The Bahamas,Latin America and Caribbean
Uruguay,Latin America and Caribbean
Venezuela,Latin America and Caribbean
China,East Asia
Japan,East Asia
"Korea, North",East Asia
"Korea, South",East Asia
Mongolia,East Asia
Taiwan,East Asia
Armenia,Commonwealth of Independent States
Azerbaijan,Commonwealth of Independent States
Belarus,Commonwealth of Independent States
Georgia,Commonwealth of Independent States
Kazakhstan,Commonwealth of Independent States
Kyrgyzstan,Commonwealth of Independent States
Moldova,Commonwealth of Independent States
Russia,Commonwealth of Independent States
Tajikistan,Commonwealth of Independent States
Turkmenistan,Commonwealth of Independent States
Ukraine,Commonwealth of Independent States
Uzbekistan,Commonwealth of Independent States
